OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-079E","ARIANE 5 R/B","43059","FR","831.47","56.22","22919","22905","LARGE","0","2017-12-12",""
"2017-079D","GALILEO 22 (2C8)","43058","ESA","844.70","56.26","23236","23209","LARGE","0","2017-12-12",""
"2017-079C","GALILEO 21 (2C7)","43057","ESA","844.70","56.26","23232","23212","LARGE","0","2017-12-12",""
"2017-079B","GALILEO 20 (2C6)","43056","ESA","844.70","56.26","23234","23210","LARGE","0","2017-12-12",""
"2017-079A","GALILEO 19 (2C5)","43055","ESA","844.70","56.26","23229","23215","LARGE","0","2017-12-12",""
"2017-071T","LEMUR 2 LIU-POU-CHUN","43054","US","93.06","51.64","425","424","SMALL","0","2017-11-12",""
"2017-071S","LEMUR 2 DUNLOP","43053","US","93.09","51.64","426","426","SMALL","0","2017-11-12",""
"2017-071R","FAUNA","43052","US","93.26","51.64","436","432","SMALL","0","2017-11-12",""
"2017-071Q","LEMUR 2 MCCULLAGH","43051","US","93.03","51.64","423","423","SMALL","0","2017-11-12",""
"2017-071P","ISARA","43050","US","93.05","51.64","426","422","SMALL","0","2017-11-12",""
"2017-071N","ASGARDIA 1","43049","US","93.28","51.64","437","433","SMALL","0","2017-11-12",""
"2017-071M","LEMUR 2 ROMACOSTE","43048","US","93.02","51.64","425","420","SMALL","0","2017-11-12",""
"2017-071L","LEMUR 2 BRIANDAVIE","43047","US","93.06","51.64","427","422","SMALL","0","2017-11-12",""
"2017-071K","LEMUR 2 KEVIN","43046","US","93.09","51.64","428","423","SMALL","0","2017-11-12",""
"2017-071J","LEMUR 2 YONGLIN","43045","US","92.98","51.64","423","418","SMALL","0","2017-11-12",""
"2017-071H","CHEFSAT","43044","US","92.99","51.64","424","418","SMALL","0","2017-11-12",""
"2017-071G","AEROCUBE 7C","43043","US","93.29","51.64","439","432","SMALL","0","2017-11-12",""
"2017-071F","AEROCUBE 7B","43042","US","93.28","51.64","439","432","SMALL","0","2017-11-12",""
"2017-071E","LEMUR 2 ROCKETJONAH","43041","US","93.03","51.64","424","422","SMALL","0","2017-11-12",""
"2017-078A","ALCOMSAT 1","43039","ALG","1436.10","0.05","35797","35776","LARGE","0","2017-12-10",""
"2017-078A","ALCOMSAT 1","43039","ALG","1436.15","0.03","35798","35777","LARGE","0","2017-12-10",""
"2017-077E","CZ-2D DEB","43038","PRC","93.81","97.25","484","437","SMALL","0","2017-12-03",""
"2017-077D","CZ-2D DEB","43037","PRC","93.20","97.54","460","402","SMALL","0","2017-12-03",""
"2017-077C","CZ-2D DEB","43036","PRC","94.47","97.52","502","484","SMALL","0","2017-12-03",""
"2017-077B","CZ-2D DEB","43035","PRC","94.18","97.27","488","469","SMALL","0","2017-12-03",""
"2017-077A","LKW-1","43034","PRC","94.53","97.37","502","490","LARGE","0","2017-12-03",""
"2017-076A","COSMOS 2524","43032","CIS","103.07","67.15","909","899","LARGE","0","2017-12-02",""
"2017-075D","CZ-2C R/B","43031","PRC","95.11","35.21","593","455","LARGE","0","2017-11-24",""
"2017-075C","YAOGAN-30 F","43030","PRC","96.66","35.00","602","595","LARGE","0","2017-11-24",""
"2017-075B","YAOGAN-30 E","43029","PRC","96.66","35.00","601","596","LARGE","0","2017-11-24",""
"2017-075A","YAOGAN-30 D","43028","PRC","96.66","35.00","600","597","LARGE","0","2017-11-24",""
